PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
157,168,,Heaven Designs,HVN-4B Global Hawk,0,78,Military (Modern),P,,6 Dec 2023,543,0.000
158,169,,Taog’s Hangar,SA315B Lama,0,79,Helicopter,P,,29 Nov 2023,550,0.000
160,170,,iniBuilds / Microsoft,Saab B-17,0,79,Vintage / Biplane,P,,1 Dec 2023,548,0.000
161,171,,Ariebaba,North American Rockwell OV-10 Bronco,0,79,Warbird (Classic),F,,27 Nov 2023,552,0.000
162,172,,Fsadnis ,Messerschmitt Me 262 A-1a,0,79,Warbird (Classic),F,,27 Nov 2023,552,0.000
163,173,,Fsadnis ,Avro Vulcan B2,0,79,Military (Modern),F,,27 Nov 2023,552,0.000
164,174,,VrilleAPlat,Cessna A-37B Dragonfly,0,79,Military (Modern),F,,27 Nov 2023,552,0.000
165,175,,Scheny,Beast Horus Microjet,0,79,Ultralight / Sports,F,,27 Nov 2023,552,0.000
166,176,,Got Friends,Fokker Dr.1,0,81,Vintage / Biplane,F,,13 Nov 2023,566,0.000
167,177,,Black Box Sim,Shorts SD-30 Series,0,82,Turboprop,P,,6 Nov 2023,573,0.000
171,178,,Rara-Avis Sims,English Electric Wren,0,88,Vintage / Biplane,P,,29 Sep 2023,611,0.000
172,179,,KwikFlight,B-2 Spirit,0,88,Military (Modern),P,,25 Sep 2023,615,0.000
173,180,,Bear Studios ,MiG-15bis,0,90,Military (Modern),P,,11 Sep 2023,629,0.000
174,181,,Microsoft,Aero Vodochody Ae-45,0,91,Vintage / Biplane,P,,4 Sep 2023,636,0.000
175,182,,Sim Skunk Works,Leonardo (SIAI Marchetti) SF-260,0,91,Piston GA,P,,4 Sep 2023,636,0.000
176,183,,MScenery,Grumman X-47B,0,91,Other,P,,4 Sep 2023,636,0.000
177,184,,Microsoft / Aeroplane Heaven,Ford 4-AT Trimotor,0,92,Vintage / Biplane,P,,29 Aug 2023,642,0.000
