PRV,NOW,,DEVELOPER,AIRCRAFT,,,CATEGORY,$,,ADDED,DAYS,
71,170,,Got Friends,F4F-4 Wildcat,0,88,Warbird (Classic),P,,29 Sep 2023,611,0.000
182,171,,Rara-Avis Sims,English Electric Wren,0,88,Vintage / Biplane,P,,29 Sep 2023,611,0.000
183,172,,KwikFlight,B-2 Spirit,0,88,Military (Modern),P,,25 Sep 2023,615,0.000
72,173,,Bear Studios ,MiG-15bis,0,90,Military (Modern),P,,11 Sep 2023,629,0.000
184,174,,Microsoft,Aero Vodochody Ae-45,0,91,Vintage / Biplane,P,,4 Sep 2023,636,0.000
185,175,,Sim Skunk Works,Leonardo (SIAI Marchetti) SF-260,0,91,Piston GA,P,,4 Sep 2023,636,0.000
186,176,,MScenery,Grumman X-47B,0,91,Other,P,,4 Sep 2023,636,0.000
73,177,,Microsoft / Aeroplane Heaven,Ford 4-AT Trimotor,0,92,Vintage / Biplane,P,,29 Aug 2023,642,0.000
187,178,,Cowan Sim,Bell 206-L3 LongRanger,0,94,Helicopter,P,,17 Aug 2023,654,0.000
188,179,,Asobo,Wright Flyer,0,94,Vintage / Biplane,F,,14 Aug 2023,657,0.000
189,180,,Ysim,SubSonex JSX-2,0,96,Ultralight / Sports,P,,3 Aug 2023,668,0.000
74,181,,BlueMesh,Caudron C.430 Rafale,0,97,Piston GA,P,,24 Jul 2023,678,0.000
190,182,,Shrike Simulations,MD-530F,0,97,Helicopter,P,,28 Jul 2023,674,0.000
191,183,,DC Designs,F-4 Phantom,0,97,Military (Modern),P,,24 Jul 2023,678,0.000
192,184,,iniBuilds,Messerschmitt Bf 108 B Typhoon,0,97,Warbird (Classic),P,,25 Jul 2023,677,0.000
193,185,,VrilleAPlat,Cessna T-37 Tweet,0,97,Piston GA,P,,24 Jul 2023,678,0.000
194,186,,Microsoft / Aeroplane Heaven,Boeing 307 Stratoliner ,0,100,Vintage / Biplane,P,,3 Jul 2023,699,0.000
195,187,,Microsoft / BlueMesh,Latécoère 631,0,101,Seaplane,P,,30 Jun 2023,702,0.000
196,188,,Got Friends,DoubleEnder,0,101,Piston GA,P,,30 Jun 2023,702,0.000
197,189,,Orbx ,Blackwing BW635RG,0,101,Piston GA,P,,30 Jun 2023,702,0.000
198,190,,Cowan Sim,Bell 222B,0,101,Helicopter,P,,27 Jun 2023,705,0.000
199,191,,Nemeth Designs,Schweizer S300,0,101,Helicopter,P,,27 Jun 2023,705,0.000
201,192,,HCG,Spartan 7W Executive,0,102,Piston GA,P,,19 Jun 2023,713,0.000
202,193,,Flying Fries,Scrapyard Monster,0,102,Piston GA,F,,19 Jun 2023,713,0.000
203,194,,Dave Garwood,Twin Hawker Hunter,0,105,Military (Modern),F,,3 Jun 2023,729,0.000
204,195,,Flight Replicas,PA-11 Cub Special,0,106,Piston GA,P,,27 May 2023,736,0.000
205,196,,Deimos Inc.,A-10C Thunderbolt II “Warthog”,0,106,Military (Modern),P,,25 May 2023,738,0.000
206,197,,BRsim Designs,Embraer EMB121A1-Xingu II,0,106,Piston GA,P,,23 May 2023,740,0.000
207,198,,Rara-Avis Sims,Bulldog Autogyro,0,106,Ultralight / Sports,P,,22 May 2023,741,0.000
75,199,,FlyBoy Simulations,Rans S6S Coyote II,0,108,Piston GA,P,,9 May 2023,754,0.000
76,200,,AzurPoly,C-160 Transall,0,108,Turboprop,P,,9 May 2023,754,0.000
208,201,,Taog’s Hangar,Aérospatiale Alouette III,0,108,Helicopter,P,,9 May 2023,754,0.000
77,202,,Microsoft / S&H Software,ATR 600 Series,0,110,Airliner,P,,27 Apr 2023,766,0.000
209,203,,PilotExperienceSim,Maule M7-235,0,110,Piston GA,P,,28 Apr 2023,765,0.000
211,204,,ROPROD Audiovisual,Sea Ray L510,0,110,Other,P,,24 Apr 2023,769,0.000
210,205,,Asobo,Diamond DV20,0,111,Piston GA,D,,21 Apr 2023,772,0.000
